PDB ID,n,N
1tu2,2.0,2
1tu4,4.0,8
1tvg,1.0,1
1tw6,4.0,4
1twc,10.0,10
1twy,8.0,1
1txo,2.0,1
1txu,1.0,1
1ty2,3.0,2
1tzo,14.0,7
1tzz,2.0,1
1u02,1.0,1
1u0a,4.0,1
1u0b,2.0,1
1u0l,3.0,1
1u10,6.0,2
1u12,2.0,2
1u1j,1.0,1
1u2w,4.0,2
1u3d,1.0,1
1u3e,4.0,1
1u3g,1.0,1
1u54,2.0,1
1u5k,2.0,2
1u5r,2.0,1
1u6p,2.0,1
1u7p,4.0,1
1u7w,3.0,2
1u8b,5.0,1
1u8r,12.0,4
1u8x,1.0,1
1u9k,2.0,1
1ua3,1.0,1
1ua7,1.0,1
1uat,1.0,1
1ubd,3.0,1
1ubo,2.0,2
1uby,1.0,2
1ucn,3.0,6
1ud9,4.0,1
1udv,2.0,2
1ue1,2.0,4
1ueh,2.0,2
1uer,4.0,2
1uf3,8.0,8
1ugp,2.0,4
1uh3,1.0,1
1uha,1.0,1
1uhn,1.0,1
1uis,2.0,2
1ukw,2.0,2
1ul1,6.0,6
1ul3,4.0,3
1ulv,1.0,1
1umd,4.0,4
1umg,1.0,8
1uml,1.0,1
1un6,5.0,1
1un9,2.0,2
1unf,1.0,1
1uns,1.0,1
1uoc,2.0,1
1upb,4.0,4
1ups,2.0,1
1uqw,2.0,1
1urj,2.0,1
1urx,1.0,1
1usn,1.0,3
1usr,2.0,2
1utt,1.0,6
1uuf,1.0,2
1uuv,2.0,6
1uv4,1.0,1
1uvn,6.0,1
1uvq,3.0,2
1uw0,1.0,1
1uww,2.0,2
1uwy,1.0,1
1ux1,4.0,4
1ux6,1.0,1
1ux7,1.0,1
1uxx,1.0,1
1uy3,1.0,1
1uyy,2.0,1
1uzj,3.0,1
1uzr,3.0,2
1v0c,1.0,1
1v0d,1.0,2
1v10,1.0,1
1v13,2.0,2
1v14,12.0,1
1v15,12.0,1
1v1f,1.0,2
1v26,2.0,2
1v29,2.0,4
1v34,1.0,1
1v3d,2.0,8
1v3m,2.0,1
1v3w,1.0,3
1v47,2.0,2
1v4p,3.0,1
1v51,1.0,1
1v5g,1.0,4
1v6p,2.0,2
1v72,1.0,4
1v73,1.0,1
1v7x,1.0,2
1v84,2.0,2
1v8d,3.0,6
1v98,2.0,2
1v9p,2.0,1
1v9u,5.0,4
1va6,2.0,1
1vak,1.0,6
1vb9,2.0,1
1vbh,1.0,2
1vbl,1.0,1
1vc9,2.0,1
1vcv,2.0,2
1vdd,4.0,4
1ve0,1.0,3
1ve5,4.0,4
1vec,2.0,1
1vez,2.0,2
1vfd,1.0,1
1vfx,1.0,1
1vfy,1.0,1
1vg9,8.0,2
1vh2,1.0,1
1vha,6.0,3
1vhd,2.0,2
1vhe,1.0,1
1viw,2.0,4
1vix,2.0,2
1vj0,4.0,4
1vj7,2.0,1
1vje,2.0,2
1vk6,1.0,1
1vk9,1.0,1
1vkm,6.0,3
1vkp,2.0,2
1vl8,2.0,2
1vli,1.0,1
1vlj,2.0,2
1vma,2.0,1
1vpy,1.0,1
1vq0,2.0,2
1vq2,1.0,2
1vr0,3.0,2
1vrb,4.0,2
1vrg,6.0,6
1vrp,2.0,2
1vrq,4.0,4
1vs0,2.0,1
1vs1,4.0,4
1vsh,1.0,2
1vtn,3.0,1
1vyk,1.0,1
1vyx,1.0,1
1vz0,8.0,2
1vzi,2.0,2
1vzm,3.0,1
1vzy,2.0,4
1w07,2.0,2
1w0h,1.0,1
1w0o,1.0,1
1w15,1.0,3
1w1w,8.0,2
1w20,4.0,4
1w22,2.0,1
1w2n,1.0,1
1w2y,2.0,2
1w2z,4.0,2
1w3b,2.0,2
1w3s,2.0,1
1w3w,1.0,1
1w4b,3.0,6
1w52,1.0,1
1w55,1.0,6
1w5c,20.0,10
1w6s,4.0,4
1w6t,2.0,8
1w78,1.0,1
1w7j,2.0,4
1w88,10.0,5
1w9d,1.0,1
1w9j,1.0,1
1wa5,3.0,3
1waa,6.0,6
1wad,1.0,1
1wao,4.0,1
1wb7,2.0,4
1wcz,1.0,1
1wd9,1.0,2
1wdm,4.0,4
1wdt,1.0,1
1wej,3.0,3
1wf3,1.0,1
1wfx,1.0,3
1wkl,2.0,6
1wkm,2.0,1
1wkq,2.0,2
1wky,1.0,1
1wlj,1.0,1
1wmz,4.0,4
1wn1,2.0,2
1wni,1.0,1
1wno,2.0,2
1wnu,2.0,2
1wog,6.0,6
1wpg,4.0,4
1wpn,2.0,2
1wpp,2.0,2
1wpu,4.0,6
1wpw,2.0,4
1wqa,4.0,1
1wra,2.0,1
1wrl,6.0,2
1ws8,4.0,4
1wt9,2.0,2
1wtc,1.0,2
1wuf,2.0,2
1wur,5.0,10
1wvc,1.0,6
1wvm,4.0,2
1ww1,2.0,2
1wwr,4.0,2
1wws,8.0,2
1wxe,1.0,1
1wy2,2.0,2
1wy9,1.0,1
1wyg,1.0,1
1wyw,2.0,2
1wza,1.0,1
1wzc,2.0,1
1x0t,1.0,1
1x1c,1.0,1
1x2t,4.0,2
1x35,3.0,3
1x36,1.0,5
1x3s,1.0,1
1x3z,3.0,2
1x7i,2.0,2
1x7x,2.0,4
1x83,2.0,2
1x8b,1.0,1
1x8k,2.0,2
1x9u,2.0,1
1xa6,1.0,1
1xa8,4.0,2
1xaf,2.0,2
1xaj,2.0,1
1xb0,12.0,6
1xbt,8.0,4
1xc3,1.0,1
1xcb,7.0,2
1xcr,2.0,1
1xd3,4.0,2
1xdj,2.0,1
1xdp,2.0,2
1xed,6.0,1
1xem,1.0,1
1xer,1.0,2
1xex,2.0,4
1xf1,2.0,2
1xf9,4.0,6
1xfw,12.0,4
1xfx,12.0,2
1xhb,1.0,1
1xhf,2.0,2
1xhv,12.0,2
1xjl,2.0,2
1xk4,12.0,4
1xkb,4.0,4
1xkd,2.0,2
1xkf,2.0,2
1xki,1.0,1
1xkv,2.0,2
1xlg,2.0,4
1xm5,4.0,1
1xme,3.0,3
1xmi,5.0,5
1xmv,1.0,6
1xmx,1.0,2
1xn0,2.0,1
1xoc,2.0,1
1xov,1.0,1
1xp3,1.0,1
1xph,1.0,1
1xpr,12.0,1
1xpy,4.0,2
1xqa,2.0,2
1xre,2.0,2
1xrf,1.0,1
1xrj,2.0,4
1xru,2.0,6
1xso,2.0,2
1xtg,2.0,2
1xtj,1.0,1
1xtl,4.0,4
1xtm,2.0,2
1xuo,2.0,1
1xuq,2.0,2
1xv2,4.0,2
1xv8,2.0,2
1xvg,6.0,6
1xvj,2.0,2
1xvl,3.0,1
1xvx,1.0,1
1xwy,1.0,1
1xx1,4.0,2
1xx4,1.0,3
1xx6,2.0,2
1xyn,1.0,2
1xz8,2.0,2
1xzo,2.0,1
1xzw,2.0,2
1y02,1.0,1
1y07,4.0,2
1y0r,1.0,3
1y10,4.0,2
1y13,3.0,6
1y1a,2.0,1
1y1x,2.0,1
1y23,5.0,2
1y4j,2.0,2
1y4s,2.0,2
1y4t,2.0,1
1y56,2.0,8
1y5y,5.0,10
1y63,1.0,1
1y64,2.0,2
1y6h,2.0,4
1y75,2.0,2
1y79,1.0,1
1y7b,4.0,4
1y7o,7.0,7
1y7p,3.0,2
1y7u,3.0,6
1y7w,2.0,1
1y8a,1.0,1
1y8o,2.0,4
1y8q,4.0,2
1y9a,2.0,4
1y9i,4.0,4
1y9q,1.0,2
1yai,3.0,2
1yax,4.0,4
1yb0,3.0,3
1ybq,2.0,8
1ybu,4.0,2
1yc2,5.0,1
1ycg,4.0,8
1ycs,2.0,2
1yd3,1.0,1
1ydf,1.0,1
1ydn,4.0,1
1ydp,3.0,2
1ydy,2.0,2
1yew,9.0,3
1yey,4.0,1
1yfh,7.0,1
1yfq,1.0,1
1yfr,2.0,1
1yfz,2.0,4
1yhn,2.0,4
1yiq,1.0,1
1yix,2.0,1
1yj0,1.0,3
1yk5,4.0,1
1yle,1.0,1
1ylh,1.0,1
1ym0,2.0,1
1yn4,1.0,1
1ynn,6.0,6
1yns,1.0,1
1yny,2.0,1
1yo7,2.0,1
1yo8,1.0,1
1yoe,1.0,2
1yp1,2.0,1
1ypp,2.0,2
1yq2,6.0,6
1yq9,4.0,2
1yqd,2.0,2
1ys7,2.0,2
1yt3,1.0,1
1ytm,2.0,1
1ytu,6.0,1
1ytz,3.0,3
1yu0,1.0,3
1yu9,1.0,2
1yun,2.0,1
1yvd,1.0,1
1yvg,1.0,2
1yvn,2.0,2
1yvp,8.0,1
1yvu,1.0,1
1yw0,4.0,4
1yw4,2.0,2
1yxh,1.0,1
1yxo,2.0,2
1yyg,1.0,1
1yyr,2.0,2
1yzl,1.0,1
1yzn,1.0,1
1yzt,2.0,1
1z03,6.0,3
1z05,1.0,2
1z06,1.0,1
1z08,4.0,2
1z0a,4.0,1
1z0b,1.0,6
1z0j,2.0,2
1z1n,1.0,1
1z29,1.0,2
1z2c,4.0,4
1z2l,2.0,2
1z2p,1.0,1
1z3a,2.0,2
1z3h,2.0,1
1z3i,1.0,1
1z3u,4.0,1
1z4j,1.0,2
1z4x,1.0,2
1z4z,1.0,4
1z5b,2.0,2
1z5h,2.0,4
1z6r,4.0,2
1z6u,2.0,1
1z6x,2.0,1
1z72,2.0,2
1z7h,1.0,1
1z7s,4.0,4
1z83,3.0,2
1z9k,3.0,6
1z9n,4.0,2
1za0,1.0,1
1zao,1.0,1
1zb7,1.0,2
1zbd,2.0,2
1zbh,6.0,4
1zbi,4.0,2
1zbu,4.0,1
1zca,2.0,1
1zch,1.0,2
1zde,1.0,1
1ze1,4.0,1
1zes,3.0,2
1zfn,4.0,2
1zh4,2.0,2
1zip,1.0,1
1ziv,1.0,1
1zjc,1.0,2
1zjj,2.0,2
1zjo,1.0,1
1zkp,4.0,2
1zkx,2.0,2
1zl7,1.0,1
1zli,2.0,2
1zlp,2.0,4
1zm1,2.0,2
1zm5,2.0,1
1zm8,1.0,1
1zme,4.0,2
1zmr,1.0,1
1zn2,1.0,1
1zno,2.0,2
1zns,3.0,1
1zob,1.0,1
1zpe,3.0,1
1zqz,1.0,1
1zsh,1.0,1
1zsw,1.0,1
1zsz,3.0,6
1zt2,4.0,2
1zth,4.0,1
1ztq,4.0,1
1zud,4.0,4
1zvc,1.0,3
1zxi,6.0,6
1zy2,2.0,2
1zyd,2.0,2
1zyk,4.0,2
1zyq,4.0,2
1zzh,4.0,2
1zzm,1.0,1
2a03,2.0,4
2a07,10.0,6
2a0b,1.0,1
2a0i,2.0,1
2a11,1.0,2
2a19,3.0,3
2a21,2.0,4
2a25,2.0,2
2a3l,1.0,2
2a3w,20.0,10
2a4e,1.0,2
2a5f,2.0,2
2a5h,4.0,4
2a5l,2.0,2
2a5v,4.0,4
2a5z,3.0,3
2a62,1.0,2
2a87,2.0,2
2a8n,2.0,2
2a8t,2.0,2
2a9f,2.0,2
2a9i,1.0,1
2a9o,1.0,1
2a9r,1.0,2
2aa4,2.0,2
2aaa,1.0,1
2aan,1.0,1
2aao,2.0,1
2ab4,2.0,1
2abz,6.0,6
2ad5,2.0,4
2ad6,4.0,4
2adq,1.0,2
2ael,2.0,1
2aeo,2.0,4
2afb,2.0,6
2afz,2.0,6
2ah9,3.0,3
2aio,1.0,2
2aj4,2.0,1
2ajr,2.0,2
2ajy,2.0,2
2akf,3.0,3
2akz,2.0,2
2al1,2.0,2
2alm,1.0,2
2alz,3.0,2
2am3,1.0,1
2amh,1.0,1
2amu,1.0,2
2amx,2.0,2
2anu,6.0,6
2aoq,3.0,1
2aor,4.0,2
2ap1,1.0,1
2apo,2.0,2
2aps,2.0,2
2aqp,2.0,4
2aqr,3.0,2
2aqx,2.0,2
2arh,3.0,3
2art,1.0,1
2as5,8.0,2
2as8,2.0,2
2as9,2.0,1
2ash,4.0,2
2atk,3.0,3
2atq,2.0,2
2atx,2.0,1
2au3,1.0,1
2au6,1.0,6
2aus,4.0,2
2avu,6.0,6
2aw9,2.0,2
2awn,4.0,2
2awo,4.0,2
2axr,1.0,1
2ayd,1.0,1
2ayi,5.0,2
2az4,2.0,1
2azq,1.0,2
2b06,1.0,2
2b0c,1.0,2
2b0o,4.0,2
2b0q,1.0,1
2b24,6.0,6
2b2x,6.0,3
2b30,4.0,2
2b33,2.0,1
2b3j,8.0,2
2b50,2.0,1
2b51,1.0,1
2b5w,1.0,2
2b6n,2.0,1
2b7j,4.0,1
2b7o,2.0,2
2b7y,4.0,4
2b8t,4.0,4
2b8w,2.0,2
2b96,1.0,1
2b9d,2.0,2
2b9j,2.0,1
2b9l,1.0,1
2bbt,2.0,1
2bbv,7.0,3
2bcd,2.0,1
2bcj,4.0,4
2bco,2.0,1
2bdg,2.0,1
2bdh,4.0,2
2bgg,6.0,1
2bgn,12.0,4
2bgw,4.0,2
2bh1,4.0,2
2bib,1.0,1
2bin,1.0,1
2biw,4.0,1
2bj9,2.0,4
2bji,2.0,2
2bjr,2.0,1
2bki,3.0,3
2bko,1.0,2
2bl0,3.0,3
2bl6,1.0,1
2bme,4.0,1
2bmi,2.0,2
2bmr,2.0,6
2bmu,2.0,6
2bn7,1.0,4
2bng,3.0,6
2bo2,2.0,1
2bo7,10.0,4
2bo9,4.0,4
2boa,2.0,1
2boi,2.0,4
2bon,2.0,1
2bow,1.0,2
2boy,8.0,2
2bpi,2.0,2
2bq1,4.0,4
2bq4,2.0,1
2bq8,1.0,1
2br4,6.0,6
2bsf,1.0,3
2btd,1.0,1
2bu3,2.0,1
2buf,12.0,6
2bv2,2.0,1
2bvl,1.0,1
2bw7,4.0,2
2bx7,2.0,2
2byo,1.0,1
2bz0,2.0,2
2c0b,2.0,4
2c0t,2.0,1
2c1c,2.0,1
2c1d,8.0,2
2c1g,1.0,1
2c1h,2.0,8
2c1v,2.0,2
2c20,6.0,2
2c21,6.0,2
2c26,1.0,2
2c2h,2.0,1
2c3a,2.0,1
2c40,2.0,2
2c43,1.0,1
2c4n,1.0,4
2c4x,1.0,1
2c5d,4.0,4
2c5u,2.0,1
2c60,1.0,1
2c6b,1.0,1
2c6y,4.0,2
2c71,1.0,1
2c7a,4.0,2
2c8s,1.0,1
2c9e,1.0,1
2c9p,3.0,1
2c9q,1.0,2
2cad,2.0,4
2cb8,2.0,1
2cbi,2.0,1
2cbl,2.0,3
2cbn,1.0,2
2cbp,1.0,1
2cbz,1.0,1
2cc0,2.0,2
2ccl,4.0,2
2ccm,2.0,1
2cdc,4.0,4
2cdo,4.0,1
2ce4,2.0,1
2cea,6.0,6
2cex,4.0,1
2cf5,1.0,2
2cf6,1.0,1
2cft,1.0,2
2cfz,1.0,2
2cg4,2.0,8
2cg5,2.0,2
2ch9,1.0,2
2chh,1.0,4
2chn,4.0,1
2chr,1.0,8
2ciw,1.0,1
2cja,2.0,2
2cje,1.0,2
2cjl,2.0,1
2cjs,3.0,3
2ckr,2.0,1
2cl5,2.0,1
2cl8,2.0,2
2clp,11.0,2
2cls,2.0,1
2clt,2.0,1
2cm3,2.0,4
2cn3,2.0,1
2col,2.0,2
2cs7,3.0,1
2csg,1.0,1
2ct9,2.0,1
2cua,2.0,1
2cw2,2.0,2
2cw3,2.0,2
2cw6,6.0,6
2cy5,1.0,2
2cye,4.0,2
2cyy,1.0,2
2czi,1.0,2
2czr,1.0,1
2d00,6.0,6
2d0b,1.0,1
2d0o,4.0,4
2d0v,6.0,4
2d0w,2.0,1
2d2f,1.0,1
2d2j,1.0,2
2d2o,2.0,2
2d30,2.0,4
2d33,4.0,4
2d39,3.0,3
2d3c,10.0,10
2d3d,1.0,1
2d3k,2.0,2
2d3n,1.0,1
2d40,4.0,4
2d4c,4.0,2
2d5f,2.0,6
2d5h,6.0,3
2d5m,1.0,2
2d6f,6.0,4
2d7r,1.0,1
2d8a,1.0,4
2db3,8.0,1
2dcn,12.0,6
2dcu,2.0,2
2ddo,2.0,2
2dds,4.0,1
2ddu,1.0,1
2dfi,2.0,2
2dfj,2.0,2
2dft,4.0,4
2dfv,3.0,1
2dfy,2.0,1
2dg1,6.0,1
2dg5,4.0,2
2dge,4.0,4
2dh3,2.0,1
2dho,1.0,1
2di3,2.0,2
2die,1.0,1
2djw,10.0,10
2dkd,2.0,1
2dkf,4.0,2
2dlc,2.0,2
2dob,1.0,2
2doq,4.0,4
2dph,2.0,4
2dpk,1.0,1
2dqb,6.0,6
2drp,6.0,1
2ds8,4.0,2
2dsd,2.0,2
2dsx,1.0,1
2dsy,4.0,4
2dt8,1.0,1
2dti,2.0,2
2dty,4.0,2
2duq,2.0,1
2dv6,6.0,6
2dvx,4.0,4
2dw0,2.0,1
2dw7,16.0,2
2dwt,1.0,3
2e18,2.0,2
2e1b,1.0,1
2e1q,4.0,2
2e26,1.0,1
2e2j,13.0,10
2e3x,3.0,3
2e46,1.0,2
2e5a,1.0,1
2e67,6.0,2
2e6b,4.0,4
2e6l,1.0,1
2e6u,1.0,1
2e7x,1.0,8
2e7y,2.0,2
2e84,1.0,1
2e85,2.0,2
2e86,3.0,3
2e89,4.0,2
2e90,2.0,2
2e9b,2.0,1
2e9r,3.0,1
2ea7,3.0,3
2eae,1.0,1
2eb0,2.0,2
2eb1,3.0,2
2eb5,5.0,10
2ec7,1.0,1
2eek,1.0,1
2eer,2.0,4
2ef0,1.0,3
2ef5,6.0,6
2eg3,2.0,1
2eg4,2.0,2
2egh,2.0,2
2eh1,2.0,1
2eh3,1.0,2
2eh9,1.0,1
2ehd,2.0,2
2eht,1.0,1
2eig,4.0,4
2eih,2.0,4
2ejc,1.0,2
2ejn,2.0,2
2ejq,2.0,1
2ejv,2.0,4
2ejw,4.0,2
2ek0,2.0,2
2ek9,1.0,1
2el4,1.0,1
2env,1.0,1
2enx,2.0,2
2eo4,1.0,2
2epf,4.0,1
2eqd,1.0,1
2er8,8.0,2
2ere,4.0,2
2erp,2.0,2
2erx,2.0,1
2es2,2.0,1
2es4,4.0,2
2esf,2.0,4
2esl,12.0,1
2ess,1.0,2
2et7,1.0,6
2euf,2.0,2
2eul,4.0,2
2evx,1.0,3
2ew1,1.0,1
2ew6,1.0,1
2ewe,1.0,1
2ewg,2.0,4
2ewl,1.0,1
2ex5,4.0,2
2exk,4.0,4
2exu,1.0,2
2ey4,6.0,6
2f03,6.0,4
2f0a,4.0,4
2f17,2.0,2
2f1d,16.0,8
2f1f,2.0,2
2f1i,1.0,1
2f2a,3.0,3
2f2o,2.0,4
2f2p,2.0,2
2f43,3.0,7
2f44,3.0,1
2f49,3.0,2
2f4f,2.0,2
2f4l,4.0,2
2f4o,3.0,2
2f59,5.0,5
2f6j,4.0,3
2f6k,2.0,4
2f6n,2.0,2
2f6s,2.0,2
2f7n,1.0,6
2f7t,1.0,2
2f7v,1.0,2
2f96,2.0,2
2f9r,4.0,1
2f9y,2.0,4
2fah,4.0,1
2faq,2.0,1
2fbh,1.0,2
2fbv,1.0,1
2fca,2.0,2
2fco,2.0,2
2fcw,2.0,2
2fdr,1.0,1
2fe8,3.0,6
2fea,2.0,1
2ffl,4.0,1
2ffv,2.0,4
2fg5,1.0,1
2fge,4.0,1
2fgl,2.0,1
2fgr,2.0,3
2fgy,2.0,2
2fh2,3.0,1
2fh5,2.0,2
2fhx,2.0,2
2fi1,1.0,1
2fi4,2.0,8
2fib,2.0,1
2fiy,2.0,1
2fj9,1.0,2
2fju,2.0,2
2fk3,8.0,1
2fkh,3.0,1
2fli,12.0,6
2fmd,1.0,4
2fmh,2.0,3
2fn0,2.0,2
2fot,2.0,1
2fpq,1.0,1
2fpu,2.0,2
2fq1,2.0,2
2fqp,4.0,2
2fr6,4.0,4
2frh,2.0,2
2ftk,8.0,4
2ftw,1.0,4
2fu5,4.0,2
2fu9,2.0,1
2fue,1.0,2
2fvk,4.0,4
2fxf,2.0,2
2fxi,1.0,1
2fyc,4.0,2
2fym,6.0,4
2fz6,4.0,1
2fzv,4.0,8
2g09,2.0,1
2g0d,1.0,1
2g0w,2.0,1
2g0y,1.0,1
2g18,12.0,1
2g25,2.0,2
2g2p,4.0,4
2g38,4.0,2
2g3f,2.0,1
2g42,2.0,2
2g45,4.0,2
2g64,1.0,6
2g6b,1.0,1
2g6q,2.0,1
2g77,2.0,2
2g7f,1.0,1
2g7z,2.0,1
2g80,4.0,1
2g83,4.0,1
2g88,1.0,1
2g8s,2.0,1
2g9h,4.0,3
2g9z,2.0,2
2gag,4.0,4
2gbx,6.0,6
2gc1,2.0,2
2gc4,16.0,4
2gdj,1.0,1
2ge5,4.0,2
2geq,4.0,2
2gf4,2.0,4
2gfq,3.0,3
2gge,8.0,8
2ggh,4.0,8
2ggm,4.0,1
2ggz,2.0,1
2gh6,4.0,1
2gj8,4.0,2
2gjp,1.0,1
2gjz,4.0,2
2gko,1.0,1
2gli,3.0,1
2glz,2.0,2
2gm1,4.0,1
2gmu,2.0,2
2go7,4.0,1
2gpj,1.0,1
2gpy,2.0,2
2gqs,2.0,2
2gru,2.0,2
2gsl,6.0,2
2gt4,3.0,2
2gu1,1.0,1
2gu2,2.0,2
2guh,2.0,2
2gvi,1.0,2
2gwc,8.0,2
2gwg,2.0,2
2gwn,1.0,1
2gwr,1.0,1
2gx2,12.0,1
2gx8,3.0,6
2gxa,14.0,6
2gxs,2.0,2
2gy7,2.0,2
2gyq,2.0,2
2h03,1.0,2
2h0b,4.0,1
2h0k,2.0,1
2h0v,2.0,2
2h1c,2.0,2
2h1i,3.0,1
2h1n,2.0,1
2h28,2.0,1
2h2i,1.0,8
2h2u,2.0,2
2h32,3.0,3
2h39,2.0,2
2h3x,6.0,6
2h42,3.0,2
2h57,3.0,1
2h59,4.0,2
2h5n,4.0,4
2h61,8.0,8
2h6e,1.0,4
2h6l,3.0,3
2h6t,2.0,1
2h7v,4.0,2
2h7x,2.0,2
2h9d,4.0,2
2h9f,1.0,2
2hae,4.0,4
2hb5,1.0,1
2hba,2.0,1
2hbl,1.0,1
2hbv,2.0,4
2hc9,1.0,6
2hcf,1.0,1
2hck,2.0,2
2hcn,1.0,1
2hd5,2.0,2
2hdn,12.0,2
2hek,2.0,4
2hen,4.0,1
2hes,1.0,1
2hf1,2.0,1
2hf7,2.0,4
2hf8,2.0,2
2hfz,1.0,1
2hgs,1.0,2
2hh5,2.0,1
2hi7,2.0,4
2hi8,2.0,1
2hih,2.0,1
2hjg,1.0,1
2hjh,2.0,2
2hjn,1.0,2
2hk1,4.0,4
2hk6,1.0,1
2hld,27.0,9
2hma,1.0,2
2hmc,1.0,6
2hn1,1.0,2
2ho0,1.0,1
2ho4,2.0,1
2hpm,1.0,1
2hq8,2.0,1
2hru,1.0,1
2hrv,2.0,1
2hs4,1.0,1
2hsi,2.0,1
2hsj,4.0,4
2htv,2.0,4
2hu9,2.0,1
2hue,3.0,6
2huh,1.0,2
2huo,1.0,1
2hv8,6.0,4
2hvb,4.0,4
2hvq,1.0,1
2hvw,3.0,6
2hvy,5.0,4
2hw5,6.0,6
2hwg,2.0,2
2hx0,1.0,3
2hx1,4.0,4
2hxt,1.0,2
2hxv,1.0,2
2hye,4.0,4
2hyk,1.0,1
2hyp,1.0,2
2hzc,1.0,2
2hzh,1.0,1
2i0k,1.0,1
2i0m,1.0,2
2i0o,1.0,1
2i0u,2.0,6
2i13,6.0,1
2i14,6.0,6
2i1o,1.0,6
2i1p,1.0,1
2i2r,16.0,8
2i2x,16.0,4
2i34,2.0,2
2i3h,4.0,1
2i44,3.0,1
2i4b,1.0,1
2i4o,3.0,2
2i52,6.0,4
2i55,3.0,2
2i5m,1.0,2
2i5r,3.0,1
2i6h,2.0,2
2i6q,1.0,1
2i71,2.0,2
2i7a,1.0,2
2i7d,2.0,2
2i7t,1.0,1
2i7v,1.0,1
2i89,4.0,1
2i9u,2.0,2
2i9w,1.0,1
2ia5,12.0,4
2iaa,5.0,3
2ibi,2.0,2
2ibn,2.0,1
2ibp,2.0,2
2iby,4.0,4
2ici,1.0,1
2icp,1.0,1
2ics,1.0,1
2id3,2.0,2
2ido,4.0,2
2ie7,1.0,3
2iec,4.0,4
2ier,2.0,2
2if7,4.0,8
2if8,2.0,1
2ify,1.0,1
2iga,4.0,4
2igi,2.0,2
2ih8,2.0,1
2ihm,8.0,1
2ii1,4.0,2
2iic,4.0,1
2iie,4.0,1
2iii,1.0,2
2iim,1.0,2
2ijd,2.0,2
2ik8,4.0,2
2ikc,2.0,2
2il1,1.0,1
2imr,1.0,1
2inn,7.0,7
2io4,4.0,2
2ioa,2.0,2
2ioh,4.0,2
2iom,1.0,1
2iou,8.0,8
2iqj,2.0,1
2iqq,2.0,2
2iry,2.0,1
2is4,4.0,2
2ise,2.0,1
2ism,2.0,2
2iuc,2.0,2
2iuf,2.0,4
2iuj,1.0,1
2iuk,2.0,1
2iun,6.0,3
2iut,2.0,2
2iuw,1.0,2
2iv0,2.0,2
2ivh,3.0,1
2iw0,1.0,1
2iw4,2.0,2
2iwa,1.0,1
2iwk,2.0,2
2iwv,4.0,1
2ix0,1.0,1
2ixd,2.0,6
2ixt,2.0,1
2iyk,2.0,1
2iyn,3.0,1
2iyy,1.0,1
2izo,3.0,3
2j0b,1.0,1
2j0t,6.0,2
2j0v,4.0,1
2j0w,1.0,2
2j13,1.0,1
2j17,2.0,1
2j1e,1.0,1
2j1n,3.0,3
2j1s,2.0,1
2j22,1.0,1
2j2p,6.0,3
2j2s,1.0,1
2j2z,2.0,4
2j3m,2.0,2
2j3z,6.0,1
2j41,4.0,2
2j44,1.0,1
2j4e,8.0,2
2j4h,2.0,3
2j4j,6.0,6
2j4x,1.0,1
2j5v,2.0,2
2j5w,1.0,1
2j5x,2.0,1
2j5z,3.0,3
2j60,3.0,1
2j65,2.0,1
2j6a,1.0,1
2j6e,6.0,6
2j6v,2.0,1
2j74,2.0,1
2j78,2.0,1
2j7q,4.0,2
2j7t,1.0,2
2j82,1.0,2
2j87,4.0,4
2j9r,1.0,4
2j9u,4.0,2
2jam,4.0,1
2jar,1.0,2
2jat,2.0,2
2jaz,4.0,8
2jbh,2.0,4
2jcb,2.0,1
2jcd,2.0,2
2jcg,1.0,2
2jcs,2.0,2
2jd4,2.0,1
2jd5,3.0,2
2jda,2.0,1
2jdz,1.0,4
2jfp,2.0,2
2jft,1.0,1
2jgu,1.0,1
2jhl,1.0,1
2jib,2.0,4
2jig,2.0,1
2jjl,1.0,3
2jke,2.0,2
2jkg,2.0,1
2jkp,2.0,1
2jks,1.0,1
2jlb,2.0,1
2jlp,4.0,2
2jlv,4.0,1
2jne,1.0,1
2jox,1.0,1
2jq5,1.0,1
2jq6,1.0,1
2jr7,1.0,1
2jvn,1.0,1
2jw6,1.0,1
2jxc,2.0,2
2k17,2.0,1
2k1p,1.0,1
2k2c,1.0,1
2k2d,1.0,1
2k3r,1.0,1
2k4d,1.0,1
2k4w,1.0,1
2k4x,1.0,1
2k5c,1.0,1
2k60,1.0,1
2k7b,1.0,1
2k7r,1.0,1
2k8d,1.0,1
2ka4,2.0,2
2ka6,2.0,2
2kak,1.0,1
2kbm,4.0,2
2kdp,1.0,1
2kfg,2.0,1
2kfn,2.0,1
2kgo,1.0,1
2kkr,1.0,1
2kn9,1.0,1
2knx,1.0,1
2kny,1.0,1
2ko8,3.0,3
2kpi,1.0,1
2kpn,1.0,1
2kq9,1.0,1
2kqd,1.0,1
2kqe,1.0,1
2kr1,1.0,1
2kri,2.0,2
2ksz,1.0,1
2ku3,1.0,1
2kug,1.0,1
2kv1,1.0,1
2kwo,2.0,1
2kwq,1.0,1
2kxv,1.0,1
2kyf,1.0,1
2kyu,1.0,1
2kz2,1.0,1
2kzy,1.0,1
2l00,2.0,2
2l0b,1.0,1
2l0z,1.0,1
2l1g,3.0,1
2l1u,1.0,1
2l1w,2.0,1
2l30,1.0,1
2l31,1.0,1
2l43,1.0,1
2l47,1.0,1
2l4i,1.0,1
